category,temperature,humidity,v_no2,v_etoh,v_voc,v_co
0,20.0,46.8,0.1779,0.5185,0.6925,1.0467
0,20.1,46.8,0.1835,0.5152,0.6915,1.0453
0,20.1,46.7,0.1835,0.5241,0.685,1.0511
0,20.1,46.8,0.183,0.5061,0.694,1.0417
0,20.1,46.8,0.18,0.5026,0.7007,1.0495
0,20.1,46.7,0.1789,0.515,0.691,1.0545
0,20.1,46.8,0.1697,0.5035,0.6978,1.0399
0,20.1,46.8,0.1831,0.5103,0.702,1.0462
0,20.1,46.8,0.1821,0.5163,0.6933,1.0345
0,20.1,46.8,0.1856,0.5091,0.7072,1.0474
0,20.1,46.8,0.1786,0.5153,0.6949,1.0438
0,20.1,46.8,0.1887,0.5168,0.7047,1.0467
0,20.1,46.8,0.1778,0.5066,0.703,1.0523
0,20.0,46.8,0.1737,0.5137,0.6991,1.0559
0,20.1,46.8,0.1847,0.5161,0.6957,1.0467
0,20.1,46.8,0.1777,0.5197,0.7013,1.0437
0,20.1,46.8,0.1737,0.5168,0.695,1.0478
0,20.1,46.8,0.1806,0.5137,0.6939,1.0496
0,20.1,46.8,0.1838,0.5103,0.6962,1.0525
0,20.1,46.8,0.1812,0.512,0.6962,1.0503
0,20.1,46.8,0.1825,0.5104,0.7032,1.0435
0,20.1,46.8,0.2005,0.5129,0.6947,1.0525
0,20.1,46.8,0.1841,0.5259,0.6928,1.0596
0,20.1,46.8,0.1877,0.5099,0.697,1.0648
0,20.1,46.8,0.1701,0.5094,0.6992,1.0485
0,20.1,46.8,0.1818,0.5023,0.7051,1.0442
0,20.1,46.8,0.1839,0.509,0.6958,1.051
0,20.1,46.8,0.1782,0.5154,0.6875,1.0492
0,20.1,46.8,0.1756,0.5207,0.692,1.0423
0,20.1,46.8,0.182,0.5146,0.6996,1.0511
0,20.1,46.8,0.1784,0.5135,0.707,1.0466
0,20.1,46.8,0.177,0.5171,0.6956,1.0566
0,20.1,46.8,0.1857,0.5084,0.6899,1.0551
0,20.1,46.8,0.1867,0.5059,0.6944,1.0431
0,20.1,46.8,0.1815,0.4944,0.6886,1.047
0,20.1,46.8,0.1777,0.5045,0.6961,1.0404
0,20.1,46.7,0.1826,0.514,0.7003,1.055
0,20.1,46.8,0.1841,0.5092,0.7034,1.0507
0,20.1,46.8,0.1832,0.5076,0.7014,1.0503
0,20.1,46.8,0.1727,0.5039,0.7099,1.0457
0,20.1,46.8,0.1783,0.5084,0.6962,1.0423
0,20.1,46.8,0.1818,0.5041,0.7122,1.0433
0,20.0,46.8,0.1831,0.5105,0.6975,1.0536
0,20.0,46.8,0.1848,0.5065,0.677,1.0519
0,20.1,46.8,0.1838,0.5118,0.7032,1.0504
0,20.1,46.8,0.1743,0.5149,0.6847,1.046
0,20.1,46.8,0.1765,0.5099,0.6975,1.0478
0,20.1,46.8,0.1739,0.5068,0.7003,1.0387
0,20.1,46.8,0.189,0.5136,0.6979,1.0565
0,20.1,46.8,0.1809,0.5168,0.7096,1.0517
0,20.1,46.8,0.1828,0.5016,0.7009,1.0591
0,20.1,46.8,0.1852,0.5098,0.6994,1.0446
0,20.0,46.8,0.1784,0.5125,0.6935,1.0705
0,20.0,46.8,0.1742,0.5043,0.7009,1.0488
0,20.1,46.8,0.1779,0.5192,0.6965,1.051
0,20.0,46.8,0.1793,0.5103,0.6981,1.0584
0,20.1,46.8,0.1875,0.5194,0.6896,1.0425
0,20.0,46.8,0.1843,0.5025,0.6967,1.0512
0,20.0,46.8,0.1746,0.5017,0.6974,1.0417
0,20.0,46.8,0.1833,0.5153,0.6895,1.0519
0,20.1,46.8,0.1837,0.5048,0.6966,1.0526
0,20.0,46.8,0.1747,0.5166,0.6879,1.0489
0,20.0,46.8,0.1795,0.5092,0.6991,1.0519
0,20.1,46.8,0.1707,0.5145,0.6958,1.045
0,20.1,46.8,0.1817,0.5166,0.6868,1.0496
0,20.1,46.8,0.1784,0.516,0.7029,1.0428
0,20.1,46.8,0.1732,0.5117,0.6976,1.0499
0,20.1,46.8,0.1765,0.512,0.6934,1.0486
0,20.0,46.8,0.1812,0.5064,0.6985,1.0503
0,20.0,46.8,0.1772,0.5084,0.6968,1.0557
0,20.1,46.8,0.1815,0.5113,0.6854,1.0493
0,20.1,46.8,0.1828,0.5147,0.6983,1.0453
0,20.1,46.8,0.1758,0.5091,0.6931,1.0587
0,20.1,46.8,0.1784,0.5212,0.6879,1.0458
0,20.0,46.8,0.1907,0.5022,0.6882,1.045
0,20.1,46.8,0.1806,0.5101,0.695,1.0459
0,20.1,46.8,0.1758,0.514,0.6889,1.0539
0,20.1,46.8,0.1803,0.5071,0.6856,1.0435
0,20.1,46.8,0.1733,0.5032,0.6872,1.0551
0,20.0,46.9,0.1857,0.5075,0.6943,1.0485
0,20.1,46.8,0.1819,0.5084,0.701,1.0563
0,20.1,46.8,0.1854,0.5053,0.685,1.0479
0,20.0,46.9,0.1845,0.5139,0.6868,1.0543
0,20.0,46.8,0.172,0.5102,0.6916,1.0464
0,20.0,46.8,0.1849,0.5076,0.698,1.0486
0,20.1,46.9,0.181,0.5137,0.6947,1.0525
0,20.1,46.8,0.1767,0.5094,0.6882,1.046
0,20.0,46.8,0.1749,0.5109,0.6824,1.0607
0,20.0,46.8,0.1778,0.5015,0.6835,1.0498
0,20.1,46.9,0.1675,0.5073,0.6911,1.0472
0,20.0,46.8,0.1891,0.5116,0.6881,1.0555
0,20.0,46.8,0.1714,0.5177,0.6946,1.0457
0,20.0,46.9,0.1796,0.5047,0.6904,1.0513
0,20.0,46.9,0.1734,0.502,0.6919,1.0447
0,20.0,46.8,0.1699,0.5073,0.6881,1.0494
0,20.0,46.9,0.1796,0.5067,0.6891,1.0385
0,20.0,46.9,0.1785,0.5118,0.6799,1.0498
0,20.0,46.8,0.1792,0.504,0.6987,1.0522
0,20.0,46.8,0.1827,0.5141,0.6941,1.0536
0,20.0,46.9,0.1669,0.5115,0.6938,1.051
0,20.0,46.8,0.1819,0.5114,0.6824,1.0469
0,20.1,46.9,0.1826,0.5098,0.685,1.0573
0,20.0,46.9,0.1783,0.51,0.7009,1.0528
0,20.0,46.8,0.1786,0.5141,0.6896,1.044
0,20.1,46.8,0.1827,0.5072,0.6896,1.0492
0,20.0,46.9,0.1703,0.5109,0.6907,1.0505
0,20.1,46.8,0.1808,0.5072,0.6877,1.0459
0,20.1,46.8,0.1581,0.499,0.6941,1.0538
0,20.0,46.9,0.1703,0.5103,0.6786,1.049
0,20.1,46.9,0.1719,0.5115,0.6864,1.0484
0,20.1,46.9,0.1793,0.5031,0.6849,1.0586
0,20.1,46.8,0.1717,0.5104,0.6801,1.0448
0,20.1,46.9,0.1895,0.5096,0.6906,1.0554
0,20.1,46.8,0.1804,0.5034,0.6852,1.0577
0,20.1,46.9,0.1833,0.5044,0.6878,1.0453
0,20.0,46.9,0.1758,0.5084,0.692,1.0487
0,20.0,46.9,0.1757,0.5145,0.6856,1.0538
0,20.0,46.9,0.1776,0.5057,0.6823,1.054
0,20.1,46.8,0.1649,0.5091,0.687,1.047
0,20.0,46.8,0.18,0.5163,0.6958,1.06
0,20.0,46.8,0.1653,0.5032,0.6815,1.045
0,20.0,46.9,0.1691,0.5176,0.6884,1.046
0,20.0,46.9,0.1628,0.4989,0.6972,1.0507
0,20.0,46.9,0.1617,0.5104,0.6887,1.0476
0,20.1,46.9,0.1766,0.5039,0.6927,1.0449
0,20.1,46.9,0.1647,0.5063,0.6974,1.054
0,20.0,46.9,0.1667,0.5005,0.6875,1.0407
0,20.1,46.8,0.1769,0.5123,0.6989,1.0427
0,20.1,46.9,0.1782,0.5075,0.6888,1.0496
0,20.1,46.8,0.1752,0.5126,0.6932,1.0565
0,20.0,46.8,0.1768,0.5066,0.696,1.0452
0,20.0,46.9,0.1836,0.5065,0.684,1.0482
0,20.0,46.8,0.1682,0.5036,0.6925,1.0518
0,20.0,46.9,0.1775,0.5017,0.688,1.05
0,20.0,46.9,0.1623,0.5059,0.692,1.051
0,20.0,46.9,0.1699,0.5092,0.6932,1.0485
0,20.0,46.9,0.1813,0.5105,0.6922,1.0522
0,20.0,46.9,0.18,0.5112,0.6906,1.0537
0,20.0,46.9,0.1693,0.5039,0.6885,1.0544
0,20.1,46.8,0.1702,0.5035,0.6938,1.0472
0,20.1,46.9,0.1718,0.52,0.6935,1.0553
0,20.1,46.9,0.1742,0.5119,0.693,1.0428
0,20.1,46.9,0.1862,0.5161,0.6833,1.049
0,20.1,46.9,0.1851,0.507,0.6883,1.0576
0,20.0,46.9,0.1764,0.5084,0.687,1.0547
0,20.1,46.9,0.1797,0.5095,0.689,1.0453
0,20.1,46.8,0.1746,0.5145,0.7006,1.0474
0,20.0,46.9,0.1671,0.5108,0.6976,1.0557
0,20.0,46.9,0.1815,0.5131,0.6883,1.0637
0,20.0,46.9,0.174,0.514,0.6868,1.0517
0,20.0,46.9,0.1776,0.5076,0.7008,1.0562
0,20.0,46.9,0.1791,0.5039,0.6795,1.0517
0,20.0,46.9,0.178,0.5108,0.6876,1.0565
0,20.0,46.9,0.1744,0.5208,0.6908,1.0513
0,20.0,46.8,0.183,0.5167,0.6896,1.0519
0,20.1,46.8,0.1745,0.5046,0.6954,1.0463
0,20.0,46.9,0.1666,0.5117,0.6807,1.0521
